room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
10244583,10131181,Entire home/apt,,4,2,,3,2,42,1,56.175385,10.211063,28:29.6
13303409,62775384,Entire home/apt,,24,0,,5,2,98,3,56.171088,10.214239,37:42.5
10323482,24010598,Entire home/apt,,24,4,4.5,2,1,76,1,56.170723,10.217109,08:53.7
14317909,32176643,Entire home/apt,,24,1,,2,1,98,1,56.16977,10.214456,32:11.0
4210930,21851491,Entire home/apt,,24,0,,3,3,83,2,56.174205,10.22026,30:18.2
9445245,48948650,Entire home/apt,,24,8,5,4,1,45,1,56.173514,10.215812,42:30.6
6241674,31950609,Entire home/apt,,24,1,,4,2,64,1,56.170462,10.218571,48:58.5
8952432,40850130,Entire home/apt,,24,10,5,4,1,42,1,56.173726,10.216227,45:51.5
5895621,30620477,Entire home/apt,,24,3,4,2,1,48,2,56.173964,10.218899,09:04.8
3127877,15886426,Entire home/apt,,24,3,4.5,4,2,35,2,56.172404,10.218622,37:41.5
7342481,38465788,Entire home/apt,,24,29,5,4,2,99,2,56.173609,10.217879,17:52.4
9474039,33719203,Entire home/apt,,4,0,,4,1,61,1,56.17543,10.203338,20:31.6
8348167,44002345,Entire home/apt,,24,21,5,4,1,82,1,56.169857,10.214586,37:37.1
6253597,32483476,Entire home/apt,,3,0,,4,2,83,1,56.174376,10.163068,07:16.5
15667724,72287741,Entire home/apt,,24,0,,4,2,61,2,56.172997,10.211506,40:02.8
6219288,32253847,Entire home/apt,,4,2,,2,1,65,1,56.17345,10.211495,15:13.8
15659111,55827135,Entire home/apt,,24,0,,6,6,79,1,56.169847,10.196487,17:49.6
6796806,35577512,Entire home/apt,,24,1,,4,2,151,1,56.173932,10.219157,25:41.5
15215012,96668730,Entire home/apt,,4,3,5,3,2,29,1,56.171491,10.19362,16:46.6
1243474,6777508,Entire home/apt,,4,5,5,6,1,59,2,56.174908,10.211735,43:42.8
3790939,19460432,Entire home/apt,,24,3,5,2,1,61,1,56.174297,10.217731,29:39.0
10120377,11595493,Entire home/apt,,24,0,,2,1,65,1,56.169625,10.210116,13:21.5
13125773,73059920,Entire home/apt,,4,0,,3,1,45,7,56.173436,10.201768,39:48.4
